x	y	classify	taxa	attr1	attr2
81.3080551	-194.4188922	4	A766	81.3080551	-194.4188922
-85.91381208	-147.3981818	5	A767	-85.91381208	-147.3981818
-94.80578474	133.1435037	5	A768	-94.80578474	133.1435037
-48.61096179	54.27714253	3	A769	-48.61096179	54.27714253
-7.29746206	-7.874164625	3	A770	-7.29746206	-7.874164625
-65.41900057	46.88794996	3	A771	-65.41900057	46.88794996
-104.5620482	205.9746999	2	A772	-104.5620482	205.9746999
21.65541703	34.58665049	3	A773	21.65541703	34.58665049
84.72109406	-59.50604933	2	A774	84.72109406	-59.50604933
198.8178255	-150.1982949	4	A775	198.8178255	-150.1982949
17.04059783	2.010877855	3	A776	17.04059783	2.010877855
169.9327074	-4.191538505	2	A777	169.9327074	-4.191538505
-8.824931332	-251.8804751	4	A778	-8.824931332	-251.8804751
199.3116966	67.00505369	2	A779	199.3116966	67.00505369
97.2013562	-36.64642988	2	A780	97.2013562	-36.64642988
154.3190219	142.9382588	2	A781	154.3190219	142.9382588
83.83759232	-202.7585944	4	A782	83.83759232	-202.7585944
46.78778353	46.66422927	3	A783	46.78778353	46.66422927
-262.8885072	52.65320496	1	A784	-262.8885072	52.65320496
160.6594563	130.4918099	3	A785	160.6594563	130.4918099
-130.6344026	166.6400202	3	A786	-130.6344026	166.6400202
117.3882387	-150.2866329	4	A787	117.3882387	-150.2866329
-95.50595206	-43.95154287	3	A788	-95.50595206	-43.95154287
-122.0720273	152.1637695	1	A789	-122.0720273	152.1637695
242.6488934	-158.7657822	4	A790	242.6488934	-158.7657822
-52.33505435	-15.33316195	3	A791	-52.33505435	-15.33316195
-48.38828519	13.24145841	3	A792	-48.38828519	13.24145841
-127.5314882	177.3265657	3	A793	-127.5314882	177.3265657
-31.74816156	173.0024412	3	A794	-31.74816156	173.0024412
-179.0166024	-15.00340294	1	A795	-179.0166024	-15.00340294
158.2523656	-4.148335181	2	A796	158.2523656	-4.148335181
-86.07005395	110.3089402	3	A797	-86.07005395	110.3089402
179.529253	94.4973658	2	A798	179.529253	94.4973658
174.5655921	177.8778497	5	A799	174.5655921	177.8778497
-168.9737146	20.09353606	1	A800	-168.9737146	20.09353606
-107.8745511	-8.487671187	1	A801	-107.8745511	-8.487671187
